subj,prompt,excluded_subj,excluded_subj_rep,excluded_response,response,prompt_set,prompt_val_set,prompt_val,prompt_stage,positivity_gpt,negativity_gpt,positivity_HK,negativity_HK,positivity_KSM,negativity_KSM,concrete_gpt,abstract_gpt,concrete_KG,abstract_KG,concrete_HK,abstract_HK,word_counts,brysbaert_sum,brysbaert_mean,brysbaert_sd
1,P3b,0,0,0,A woman is giving a presentation to her colleagues. ,3,P3,P,b,0,0,2,0,1,0,6,0,7,2,7,0,9,29.17,3.241111111,0.818984805
1,P3c,0,0,0,A woman is discussing something with her colleagues.,3,P3,P,c,0,0,1,0,1,0,3,1,6,0,6,1,8,25.42,3.1775,0.914357698
1,P4a,0,0,0,There is a business meeting.,4,P4,P,a,0,0,0,0,0,0,2,0,5,3,4,0,5,15.66,3.132,0.624235532
1,P4b,0,0,0,People are sitting around a table.,4,P4,P,b,0,0,0,0,0,0,8,0,6,0,6,0,6,21.48,3.58,1.432242996
1,P4c,0,0,0,People are sitting around a table at a business meeting.,4,P4,P,c,0,0,0,0,1,0,8,0,6,3,6,0,10,33.08,3.308,1.17057251
1,P5a,0,0,0,A woman is giving funny faces to a baby.,5,P5,P,a,7,0,4,0,6,0,8,1,8,3,8,3,9,31.64,3.515555556,1.151500229
1,P5b,0,0,0,"A woman is giving funny faces to a baby, while someone else holds the baby.",5,P5,P,b,3,0,4,0,6,0,8,1,9,3,8,3,15,48.64,3.242666667,1.296349086
1,P5c,0,0,0,A woman is giving funny faces to a baby while another woman holds the baby.,5,P5,P,c,3,0,4,0,6,0,8,1,9,3,9,3,15,50.45,3.363333333,1.2614372
1,N8a,0,0,0,A lady is checking on the emotional status of someone else,8,N8,N,a,0,0,2,1,6,0,2,3,4,6,3,6,11,31.55,2.868181818,1.095087377
1,N8b,0,0,0,Two people may be arguing,8,N8,N,b,2,5,0,4,0,4,3,1,4,2,4,2,5,16.5,3.3,1.149543388
1,N8c,0,0,0,Two people are having a disagreement.,8,N8,N,c,2,5,0,5,0,4,2,1,5,3,5,2,6,19.15,3.191666667,1.112536142
1,N9a,0,0,0,Someone is giving someone else some money.,9,N9,N,a,5,0,1,0,3,0,6,0,7,0,7,0,7,22.83,3.261428571,0.995195602
1,N9b,0,0,0,Someone is giving back their ring to someone else.,9,N9,N,b,2,5,0,5,0,5,6,1,7,0,8,3,9,29.84,3.315555556,1.126156196
1,N9c,0,0,0,A woman is giving back her wedding ring to her husband.,9,N9,N,c,1,5,0,6,0,7,8,2,8,3,9,3,11,38.38,3.489090909,0.940653545
1,P6a,0,0,0,A group of people are talking.,6,P6,P,a,0,0,0,0,0,0,3,0,4,0,5,0,6,19.68,3.28,1.268164027
1,P6b,0,0,0,A woman is talking while others around her listen.,6,P6,P,b,0,0,1,0,2,0,7,1,6,0,6,1,9,27.73,3.081111111,1.029034067
1,P6c,0,0,0,A woman is showing a group of people something.,6,P6,P,c,0,0,2,0,2,0,4,1,4,1,7,0,9,31.19,3.465555556,1.088911281
1,N10a,0,0,0,A group of people are at a table.,10,N10,N,a,0,0,0,0,0,0,7,0,3,1,6,0,8,25.83,3.22875,1.280930884
1,N10b,0,0,0,A girl is feeling sad at a table while the others behind her are talking.,10,N10,N,b,1,5,0,6,0,6,4,4,6,4,5,4,15,45.02,3.001333333,1.121140151
1,N10c,0,0,0,"A girl seems to feel left out or sad, while other people behind her talk normally.",10,N10,N,c,1,6,0,7,0,6,4,6,6,5,4,5,16,44.42,2.77625,1.081085103
1,P7a,0,0,0,A sports team just won a game.,7,P7,P,a,8,0,4,0,7,0,2,0,3,4,6,0,7,22.46,3.208571429,0.933120724
1,P7b,0,0,0,A sports team of children seem to be celebrating.,7,P7,P,b,8,0,5,0,8,0,4,1,6,4,7,3,9,25.02,2.78,1.141063101
1,P7c,0,0,0,A team of children in sports are happy and celebrating a win.,7,P7,P,c,9,0,6,0,8,0,6,2,6,5,8,4,12,34.72,2.893333333,0.934474411
1,N11a,0,0,0,Someone is comforting someone else crying.,11,N11,N,a,5,3,3,1,6,2,7,2,6,6,7,5,6,19.87,3.311666667,0.914251971
1,N11b,0,0,0,A man is asking a woman for forgiveness.,11,N11,N,b,4,3,2,2,2,5,3,2,5,8,5,6,8,25.27,3.15875,1.234323846
1,N11c,0,0,0,A man is asking a woman next to him for forgiveness.,11,N11,N,c,2,2,2,2,2,5,4,3,6,8,6,6,11,32.92,2.992727273,1.159897331
1,P8a,0,0,0,A female sports team is huddled together.,8,P8,P,a,1,0,2,0,2,0,8,0,7,1,7,1,7,25.97,3.71,0.612345219
1,P8b,0,0,0,A female sports team is standing together.,8,P8,P,b,1,0,1,0,2,0,7,0,7,0,6,0,7,25.92,3.702857143,0.605797389
1,P8c,0,0,0,"A female sports team is huddled together, probably discussing plays.",8,P8,P,c,1,0,2,0,2,0,6,3,7,5,6,2,10,34.11,3.411,0.801989886
1,P9a,0,0,0,An older woman is crying.,9,P9,P,a,0,5,0,3,0,6,8,1,6,1,7,3,5,16.57,3.314,1.219991803
1,P9b,0,0,0,An older woman is crying at a table.,9,P9,P,b,1,7,0,3,0,6,8,1,6,1,8,3,8,26.79,3.34875,1.195879085
1,P9c,0,0,0,An older woman is crying or laughing at a table.,9,P9,P,c,5,5,1,2,3,3,7,1,5,3,6,3,10,29.58,3.286666667,1.174595675
1,N12a,0,0,0,"Three people are in a room, one is standing up.",12,N12,N,a,0,0,0,0,0,0,8,0,4,0,7,0,10,33.28,3.697777778,0.913657181
1,N12b,0,0,0,"There is a business meeting going on, a woman seems to be upset.",12,N12,N,b,1,5,0,4,0,4,4,2,3,4,4,4,13,37.33,2.871538462,0.868234282
1,N12c,0,0,0,A woman is reprimanding her colleague about something.,12,N12,N,c,1,6,0,6,0,4,3,2,4,7,5,5,8,24.65,3.08125,0.976326021
1,P10a,0,0,0,A group of people are sitting down and talking.,10,P10,P,a,0,0,0,0,2,0,7,0,6,0,5,0,9,29.52,3.28,1.29936523
1,P10b,0,0,0,A group of girls are talking.,10,P10,P,b,0,0,0,0,2,0,6,0,5,0,6,0,6,19.81,3.301666667,1.298436239
1,P10c,0,0,0,A group of people are sitting together and talking.,10,P10,P,c,0,0,0,0,2,0,7,0,6,0,5,0,9,28.74,3.193333333,1.307344637
1,P11a,0,0,0,A lady is showing another lady her feet.,11,P11,P,a,0,0,0,0,2,0,8,0,8,1,8,0,8,30.4,3.8,0.755191556
1,P11b,0,0,0,An lady is showing another lady her toes.,11,P11,P,b,0,0,0,0,2,0,8,0,8,1,8,0,8,28.64,3.58,1.124086931
1,P11c,0,0,0,"Two women are together, one is painting her friend's toes.",11,P11,P,c,2,0,2,0,3,0,8,1,9,1,9,0,10,36.92,3.692,0.992480618
1,P12a,0,0,0,Several people are having a conversation.,12,P12,P,a,0,0,0,0,1,0,3,0,5,0,5,0,6,18.28,3.046666667,1.008080685
1,P12b,0,0,0,Several people are sitting together having a conversation.,12,P12,P,b,1,0,0,0,1,0,6,0,5,0,6,0,8,25.82,3.2275,1.068226167
1,P12c,0,0,0,Several people are eating out and talking to each other.,12,P12,P,c,2,0,2,0,3,0,7,1,6,2,7,0,10,24.36,2.706666667,1.180211845
2,N1a,0,0,0,Friends at a coffee shop in their phones ,1,N1,N,a,0,0,0,0,0,1,6,0,7,1,4,0,8,24.42,3.488571429,1.015339493
2,N1b,0,0,0,Friends at a coffee shop in their phones ,1,N1,N,b,0,0,0,0,0,1,6,0,7,1,4,0,8,24.42,3.488571429,1.015339493
2,N1c,0,0,0,Friends at a coffee shop on their phones ,1,N1,N,c,2,0,0,0,0,1,8,0,7,1,4,0,8,24.67,3.524285714,0.999564191
2,N2a,0,0,0,Kids are gossiping about another girl. ,2,N2,N,a,1,5,0,6,0,6,3,1,3,3,5,3,6,18.72,3.12,1.319181564
2,N2b,0,0,0,Kids are gossiping about another girl. ,2,N2,N,b,1,5,0,6,0,6,3,1,3,3,5,3,6,18.72,3.12,1.319181564
2,N2c,0,0,0,People are gossiping about another girl. ,2,N2,N,c,2,5,0,6,0,6,2,2,3,3,5,3,6,18.88,3.146666667,1.355236757
2,P1a,0,0,0,Meditation ,1,P1,P,a,5,0,3,0,6,0,0,0,6,3,2,0,1,2.85,2.85,NA
2,P1b,0,0,0,Group therapy ,1,P1,P,b,5,0,4,0,5,2,1,0,4,5,3,1,2,6.97,3.485,0.898025612
2,P1c,0,0,0,Group therapy ,1,P1,P,c,5,0,4,0,5,2,1,0,4,5,3,1,2,6.97,3.485,0.898025612
2,N3a,0,0,0,This looks like an office meeting. ,3,N3,N,a,0,0,0,0,0,0,7,0,4,2,4,0,6,16.38,2.73,1.235507993
2,N3b,0,0,0,This looks like an office meeting,3,N3,N,b,0,0,0,0,0,0,4,0,4,2,4,0,6,16.38,2.73,1.235507993
2,N3c,0,0,0,This looks like an office meeting Where they are laughing at another employee ,3,N3,N,c,1,3,0,8,0,7,7,3,6,3,6,5,13,32.75,2.729166667,1.028604159
2,N4a,0,0,0,Couple talking ,4,N4,N,a,0,0,0,0,2,0,7,0,5,2,5,0,2,8,4,0.098994949
2,N4b,0,0,0,Couple arguing ,4,N4,N,b,1,7,0,5,0,5,2,0,5,4,5,2,2,6.68,3.34,0.834386002
2,N4c,0,0,0,Argument between couple ,4,N4,N,c,2,6,0,6,0,5,2,0,5,4,4,2,3,9.5,3.166666667,0.664253967
2,P2a,0,0,0,This looks like friends having a dinner ,2,P2,P,a,5,0,3,0,5,0,7,1,6,1,6,0,7,19.99,2.855714286,0.896044217
2,P2b,0,0,0,This looks like friends of family having dinner ,2,P2,P,b,2,0,3,0,5,0,8,1,6,3,6,0,8,22.64,2.83,1.065779393
2,P2c,0,0,0,This looks like a family holiday dinner ,2,P2,P,c,5,0,4,0,6,0,7,1,7,5,7,0,7,21.83,3.118571429,0.976378147
2,N5a,0,0,0,People waiting on their phones ,5,N5,N,a,2,5,0,1,0,1,6,0,4,2,5,0,5,18.85,3.77,0.966178037
2,N5b,0,0,0,People in a coffee shop ,5,N5,N,b,0,0,0,0,0,0,6,0,4,0,5,0,5,15.8,3.95,0.959131552
2,N5c,0,0,0,People hanging out a lot a coffee shop on their phones ,5,N5,N,c,2,0,0,2,1,1,7,1,6,2,6,0,11,33.79,3.754444444,0.837064978
2,N6a,0,0,0,Friends tkaing photos at party ,6,N6,N,a,3,0,2,0,5,0,8,0,6,2,7,0,5,13.96,3.49,1.214687889
2,N6b,0,0,0,Taking selfies at party ,6,N6,N,b,5,0,2,0,4,0,8,0,4,3,7,0,4,9.02,3.006666667,0.911171407
2,N6c,0,0,0,Selfies at party ,6,N6,N,c,3,0,2,0,4,0,8,0,4,3,6,0,3,5.96,2.98,1.286934342
2,N7a,0,0,0,This looks like a couple arguing ,7,N7,N,a,1,5,0,6,0,5,4,1,5,4,5,2,6,16.92,2.82,0.744150522
2,N7b,0,0,0,This looks like a couple having an argument ,7,N7,N,b,1,5,0,6,0,5,4,2,5,4,5,2,8,20.66,2.5825,0.808238826
2,N7c,0,0,0,This looks like two friends arguing ,7,N7,N,c,2,3,0,5,0,4,6,2,5,4,5,2,6,16.99,2.831666667,0.807846933
2,P3a,0,0,0,Office meeting ,3,P3,P,a,0,0,0,0,0,0,2,0,4,2,4,0,2,7.93,3.965,1.364716088
2,P3b,0,0,0,Office meeting ,3,P3,P,b,0,0,0,0,0,0,2,0,4,2,4,0,2,7.93,3.965,1.364716088
2,P3c,0,0,0,Office meeting ,3,P3,P,c,0,0,0,0,0,0,2,0,4,2,4,0,2,7.93,3.965,1.364716088
2,P4a,0,0,0,Office meeting ,4,P4,P,a,0,0,0,0,0,0,2,0,4,2,4,0,2,7.93,3.965,1.364716088
2,P4b,0,0,0,Office meeting ,4,P4,P,b,0,0,0,0,0,0,2,0,4,2,4,0,2,7.93,3.965,1.364716088
2,P4c,0,0,0,Office meeting ,4,P4,P,c,0,0,0,0,0,0,2,0,4,2,4,0,2,7.93,3.965,1.364716088
2,P5a,0,0,0,This lady is making faces at a child ,5,P5,P,a,1,2,4,0,5,0,7,1,7,1,8,3,8,28.04,3.505,1.136083498
2,P5b,0,0,0,This lady is making faces and goofing around with kid ,5,P5,P,b,5,0,5,0,7,0,8,1,7,3,8,3,10,30.52,3.052,1.241386322
2,P5c,0,0,0,The lady is goofing around with a kid and her friend ,5,P5,P,c,7,0,5,0,7,0,6,2,6,3,8,3,11,31.59,2.871818182,1.090988709
2,N8a,0,0,0,Argument ,8,N8,N,a,3,5,0,5,0,5,0,0,4,3,2,1,1,2.85,2.85,NA
2,N8b,0,0,0,Argument between adult child and parent ,8,N8,N,b,2,5,0,6,0,6,2,0,4,3,4,2,6,20.83,3.471666667,1.305257318
2,N8c,0,0,0,Disagreement between adult child and parent ,8,N8,N,c,2,5,0,4,0,4,1,0,4,5,4,2,6,20.95,3.491666667,1.294703312
2,N9a,0,0,0,This looks like someone being handed keys ,9,N9,N,a,0,0,1,0,1,0,7,0,7,0,7,0,7,22.16,3.165714286,1.299882779
2,N9b,0,0,0,This looks like someone being handed a wedding ring ,9,N9,N,b,1,0,0,6,5,0,8,1,7,3,8,2,9,28.44,3.16,1.1112268
2,N9c,0,0,0,This looks like a divorce or break up ,9,N9,N,c,1,5,0,8,0,7,2,1,5,5,3,4,8,18.32,2.617142857,0.673639723
2,P6a,0,0,0,A conversation ,6,P6,P,a,5,5,0,0,1,0,2,0,3,0,3,0,2,6.53,3.265,0.021213203
2,P6b,0,0,0,Conversation between friends or family ,6,P6,P,b,0,0,1,0,2,0,1,0,4,2,4,0,5,15.02,3.004,0.910071426
2,P6c,0,0,0,Work conversation ,6,P6,P,c,0,0,0,0,1,0,1,0,2,2,3,0,2,6.76,3.38,0.141421356
2,N10a,0,0,0,Family in living room ,10,N10,N,a,0,0,0,0,3,0,8,0,5,2,6,0,4,15.59,3.8975,0.778861348
2,N10b,0,0,0,Friend being left out of group ,10,N10,N,b,1,7,0,7,0,4,2,1,6,4,5,5,6,15.97,2.661666667,0.889683464
2,N10c,0,0,0,Child left out of adult conversation ,10,N10,N,c,1,5,0,7,0,3,3,1,6,5,5,5,6,19.39,3.231666667,1.178769132
2,P7a,0,0,0,Playing a game,7,P7,P,a,5,0,2,0,4,0,2,0,6,2,4,0,3,10.99,3.663333333,0.724591839
2,P7b,0,0,0,Kids playing. Game ,7,P7,P,b,5,0,3,0,5,0,8,0,6,2,6,0,3,12.3,4.1,0.745385806
2,P7c,0,0,0,Victory after playing a game ,7,P7,P,c,8,0,5,0,7,0,2,1,3,6,5,3,5,15.66,3.132,0.902756889
2,N11a,0,0,0,This looks like a couple sitting together in the morning ,11,N11,N,a,1,0,0,0,3,0,7,1,7,1,6,0,10,29.58,2.958,0.99158459
2,N11b,0,0,0,This looks like a couple having an argument ,11,N11,N,b,1,5,0,6,0,5,6,2,6,3,5,2,8,20.66,2.5825,0.808238826
2,N11c,0,0,0,This looks like a couple arguing ,11,N11,N,c,1,5,0,6,0,5,4,1,6,3,5,2,6,16.92,2.82,0.744150522
2,P8a,0,0,0,Soccer coach is telling team the game plan ,8,P8,P,a,1,0,2,0,3,0,2,1,8,5,7,2,8,28.83,3.60375,1.056259404
2,P8b,0,0,0,Coach telling their team the game plan ,8,P8,P,b,0,0,2,0,3,0,2,0,8,5,7,2,7,23.48,3.354285714,1.000030952
2,P8c,0,0,0,This is a coach going over a game plan with her team ,8,P8,P,c,0,0,2,0,3,0,3,1,8,5,7,2,12,35.46,3.223636364,0.855234152
2,P9a,0,0,0,This looks like a woman crying ,9,P9,P,a,0,5,0,3,0,6,8,1,7,2,6,3,6,18.7,3.116666667,1.008536894
2,P9b,0,0,0,A woman crying at her birthday celebration ,9,P9,P,b,2,5,0,5,2,6,9,1,8,3,8,4,7,23.45,3.35,0.759649042
2,P9c,0,0,0,This looks like a woman crying at her birthday dinner ,9,P9,P,c,1,5,0,5,2,6,8,2,9,3,7,4,10,31.47,3.147,0.94904689
2,N12a,0,0,0,This looks like a family get together or office meeting ,12,N12,N,a,0,0,0,0,2,0,3,0,5,2,4,0,10,27.26,3.028888889,1.056177594
2,N12b,0,0,0,This looks like an office meeting ,12,N12,N,b,0,0,0,0,0,0,3,0,4,2,4,0,6,16.38,2.73,1.235507993
2,N12c,0,0,0,This is an office meeting ,12,N12,N,c,0,0,0,0,0,0,2,0,4,2,4,0,5,15.46,3.092,1.383716011
2,P10a,0,0,1,Sitting park,10,P10,P,a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9.54,4.77,0.042426407
2,P10b,0,0,0,Hanging out at park with friends ,10,P10,P,b,NA,NA,2,0,4,0,7,0,6,3,6,0,6,14.47,2.894,1.119075511
2,P10c,0,0,0,Hanging out at park with friends ,10,P10,P,c,NA,NA,2,0,4,0,7,0,6,3,6,0,6,14.47,2.894,1.119075511
2,P11a,0,0,0,This looks like two friends hanging out ,11,P11,P,a,NA,NA,2,0,4,0,8,2,8,2,5,0,7,16.83,2.805,0.813701419
2,P11b,0,0,0,This looks like friends hanging out and doing their nails ,11,P11,P,b,NA,NA,3,0,5,0,8,1,8,2,7,0,10,24.9,2.766666667,0.998674121
2,P11c,0,0,0,This is two friends hanging out doing their nails together ,11,P11,P,c,NA,NA,3,0,5,0,7,0,5,2,8,0,10,29.38,3.264444444,0.917893119
2,P12a,0,0,0,This looks like a family get together ,12,P12,P,a,NA,NA,3,0,4,0,7,0,5,3,5,0,7,17.61,2.935,0.84177788
2,P12b,0,0,0,This looks like a family get together possible disagreement ,12,P12,P,b,NA,NA,2,2,1,3,3,2,6,4,4,2,9,22.14,2.7675,0.862748929
2,P12c,0,0,0,Friends meeting at a coffee shop and catching up ,12,P12,P,c,NA,NA,3,0,5,0,7,1,5,6,6,2,9,20.6,2.942857143,1.038295306
3,N1a,0,0,0,This looks like a group of people sitting together on their phones.,1,N1,N,a,NA,NA,0,1,0,1,8,1,5,0,6,0,12,39.74,3.311666667,1.119949945
3,N1b,0,0,0,This picture more clearly shows a group of four people together with three of them on their phones.,1,N1,N,b,NA,NA,0,2,0,3,8,1,6,0,7,0,18,56.01,3.111666667,1.069509233
3,N1c,0,0,0,This picture depicts a get-together of friends.  Three are on their phones; the fourth is expressing boredom or fatigue.,1,N1,N,c,NA,NA,0,5,1,4,7,4,7,4,6,3,19,51.23,2.846111111,1.008044927
3,N2a,0,0,0,This is a picture of several young girls.,2,N2,N,a,NA,NA,0,0,0,0,6,0,3,0,6,0,8,26.52,3.315,1.095484237
3,N2b,0,0,0,This is a picture of several people in the background talking and one girl in the foreground.,2,N2,N,b,NA,NA,0,1,1,1,7,0,5,0,7,0,17,52.69,3.099411765,1.152109319
3,N2c,0,0,0,"This picture seems to depict gossiping, with the woman in front being the victim.",2,N2,N,c,NA,NA,0,7,0,7,3,6,4,4,5,6,14,36.62,2.615714286,1.099977023
3,P1a,0,0,0,"This looks like a small meeting, possibly of a sad nature.",1,P1,P,a,NA,NA,0,4,0,4,4,4,3,6,3,3,11,29.11,2.646363636,0.6433393
3,P1b,0,0,0,This is a meeting of friends or family that looks to be serious.,1,P1,P,b,NA,NA,1,5,1,4,3,2,5,5,4,2,13,33.01,2.539230769,0.921967656
3,P1c,0,0,0,A group of people is meeting on a serious matter; one male seems to be needing consolation.,1,P1,P,c,NA,NA,2,6,2,5,4,3,5,8,4,5,17,50.23,2.954705882,1.077828359
3,N3a,0,0,0,This looks to be a depiction of a small dinner get-together or work lunch meeting.,3,N3,N,a,NA,NA,0,0,2,0,3,1,5,2,5,0,15,42.35,2.823333333,0.924698149
3,N3b,0,0,0,This looks to be a work lunch meeting.,3,N3,N,b,NA,NA,0,0,0,0,3,1,4,2,5,0,8,22.54,2.8175,0.918753037
3,N3c,0,0,0,This is a work meeting and the co-workers seem to be poking fun at one of the employees.,3,N3,N,c,NA,NA,0,6,0,6,3,4,5,4,6,5,18,47.92,2.662222222,1.132761101
3,N4a,0,0,0,Two people are having a discussion.,4,N4,N,a,NA,NA,0,0,1,0,2,0,5,0,5,0,6,19.25,3.208333333,1.109295572
3,N4b,0,0,0,A man and a woman are having a discussion.,4,N4,N,b,0,0,0,0,2,0,3,0,6,0,6,0,9,27.62,3.068888889,1.099470832
3,N4c,0,0,0,"A woman looks to be trying to sell or teach something to the man, who is declining service.",4,N4,N,c,2,3,0,3,0,2,4,4,7,4,7,6,18,46.29,2.571666667,1.060262176
3,P2a,0,0,0,Three elderly people are gathering for dinner.,2,P2,P,a,1,0,2,0,6,0,6,0,7,2,7,0,7,22.75,3.25,1.216525106
3,P2b,0,0,0,An elderly woman is bringing a turkey to the dinner table.,2,P2,P,b,2,0,3,0,6,0,9,0,8,1,9,0,11,31.94,3.194,1.369762348
3,P2c,0,0,0,An elderly woman is serving a turkey to two elderly men.,2,P2,P,c,1,0,3,0,6,0,8,0,9,1,9,0,11,39.65,3.604545455,1.1495509
3,N5a,0,0,0,Several friends are sitting together with three of them on their phones.,5,N5,N,a,1,0,0,3,0,1,7,1,6,0,7,0,12,37.24,3.103333333,1.013520716
3,N5b,0,0,0,Several friends are sitting together on their phones.,5,N5,N,b,0,0,0,3,0,1,7,0,6,0,6,0,8,26.91,3.36375,1.015183833
3,N5c,0,0,0,"Several friends are sitting together; three are on their phones, the girl in the foreground looks to be upset or bored.",5,N5,N,c,2,3,0,5,0,5,8,3,6,6,6,3,21,59.47,2.831904762,1.076060496
3,N6a,0,0,0,This looks to be a bachelor party.,6,N6,N,a,0,0,0,0,4,0,3,1,5,4,3,0,7,19.96,2.851428571,1.049498747
3,N6b,0,0,0,This is a picture of three men at a party; one man is taking a selfie.,6,N6,N,b,0,0,0,1,5,0,8,1,7,2,8,0,16,52.13,3.475333333,0.953983129
3,N6c,0,0,0,"This is a picture of three men at a party; one man is taking a selfie, one is texting, and one is expressing sadness or boredom.",6,N6,N,c,2,2,0,4,2,5,8,3,8,6,8,3,26,81.39,3.2556,1.051752823
3,N7a,0,0,0,A man and a woman are having a discussion.,7,N7,N,a,0,0,0,0,1,0,3,0,5,0,6,0,9,27.62,3.068888889,1.099470832
3,N7b,0,0,0,A man and a woman are having a heated discussion.,7,N7,N,b,2,6,0,3,0,5,6,2,6,3,6,2,10,31.41,3.141,1.061376988
3,N7c,0,0,0,Two women are having a heated discussion/argument at the breakfast table.,7,N7,N,c,2,7,0,5,0,6,6,2,7,4,8,3,11,38.46,3.205,1.156534793
3,P3a,0,0,0,This is a meeting.,3,P3,P,a,0,0,0,0,0,0,2,0,2,1,3,0,4,12.32,3.08,0.739684617
3,P3b,0,0,0,This looks to be a presentation at a meeting.,3,P3,P,b,0,0,1,0,0,0,3,0,6,1,5,0,9,23.18,2.575555556,0.665847413
3,P3c,0,0,0,This woman is giving a presentation at a work meeting.,3,P3,P,c,0,0,2,0,1,0,4,1,7,1,7,0,10,31.52,3.152,0.727733162
3,P4a,0,0,0,This is a work meeting.,4,P4,P,a,0,0,0,0,0,0,1,0,3,2,4,0,5,15.8,3.16,0.665093978
3,P4b,0,0,0,This is a large work meeting.,4,P4,P,b,0,0,0,0,0,0,2,0,4,2,5,0,6,19.17,3.195,0.601024126
