subj,prompt,excluded_subj,excluded_subj_rep,excluded_response,response,prompt_val,prompt_set,prompt_val_set,prompt_stage,concrete_gpt,abstract_gpt,negativity_gpt,positivity_gpt,word_counts,brysbaert_sum,brysbaert_mean,brysbaert_sd
34,P2c,0,0,0,"Three people enjoying Thanksgiving together, with the lady who prepared the meal, being surprised at her amazing chef skills. Everyone else is just happy that the foods done.",P,2,P2,c,8,6,0,8,28,76.03,2.715357143,1.104859576
34,N5a,0,0,0,"People are hanging out at a cafe, drinking coffee, and reading their phones. A woman is on the right being ignored, and is upset as a result of it.",N,5,N5,a,8,6,4,2,29,86.05,3.073214286,1.16942548
34,N5b,0,0,0,"People hanging out at a cafe looking at their phones, as a woman on the side takes a well needed rest.",N,5,N5,b,8,2,0,5,21,61.02,3.051,1.11150396
34,N5c,0,0,0,"A woman is upset at a cafe, as her boyfriend hangs out with his friends, and ignores her presence. ",N,5,N5,c,4,6,7,1,19,53.3,2.961111111,1.004073403
34,N6a,0,0,0,"Three guys, performers, are having a great time after a show.",N,6,N6,a,3,2,0,8,11,33.84,3.076363636,0.973676258
34,N6b,0,0,0,"The guy on the left, after the performance, is taking a selfie, but the guy in the middle isnt having it.",N,6,N6,b,8,3,2,2,21,51.41,2.705789474,1.065135963
34,N6c,0,0,0,"Three men are hanging out during a New Years celebration, but the man in the middle isn't too enthused. ",N,6,N6,c,6,4,2,3,19,42.75,2.85,1.163166859
34,N7a,0,0,0,"Two people are having a disagreement, one with her hands in the air upset.",N,7,N7,a,8,3,6,1,14,43.79,3.127857143,1.078625754
34,N7b,0,0,0,"The argument is progressing, and the two of them have their hands up in disgust with one another.",N,7,N7,b,6,4,7,1,18,50.09,2.782777778,1.035373224
34,N7c,0,0,0,"The woman in the right is very upset, putting her hand up and is disagreeing with her friend on the right. Her friend is trying to convey something to her thats important. ",N,7,N7,c,6,6,6,2,32,83.09,2.680322581,0.998099808
34,P3a,0,0,0,"A woman giving a speech or report on a topic, and she seems to have forgot some kind of details, and is experiencing awkwardness.",P,3,P3,a,4,5,3,2,24,62.6,2.608333333,0.864335214
34,P3b,0,0,0,"This woman is responsible for a report of some kind, based on company data, and she has seemed to have forgotten something important.",P,3,P3,b,2,3,3,2,23,54.82,2.61047619,0.99249925
34,P3c,0,0,0,"This woman is brainstorming and trying to come up with ideas and concepts, but is a bit flabberghasted. ",P,3,P3,c,2,6,2,4,18,45.12,2.654117647,1.093921037
34,P4a,0,0,0,"A meeting is taking place, and the women are listening to a speaker. ",P,4,P4,a,4,1,0,1,13,38.94,2.995384615,1.099716747
34,P4b,0,0,0,"The speaker is the woman on the far left, and everyone is listening to her.",P,4,P4,b,7,1,0,1,15,42.25,2.816666667,1.149401501
34,P4c,0,0,0,"This meeting is going well, and everyone is paying close attention to the speaker.",P,4,P4,c,2,3,0,8,14,38.94,2.781428571,1.041986691
34,P5a,0,0,0,"A woman is making silly faces at her baby, just to make him laugh.",P,5,P5,a,8,4,0,8,14,44.94,3.21,1.167172784
34,P5b,0,0,0,"While drinking wine, a woman is making funny faces at a baby to make him giggle.",P,5,P5,b,9,2,0,7,16,54.58,3.41125,1.170805278
34,P5c,0,0,0,A woman loves making funny faces at a child to engage him in laughter.,P,5,P5,c,7,5,0,8,14,44.3,3.164285714,1.087698447
34,N8a,0,0,0,"A woman is visibly upset with another woman on the right, and is arms crossed not listening to her.",N,8,N8,a,8,3,7,1,19,58.74,3.091578947,1.097412427
34,N8b,0,0,0,Two women are having a bit of a disagreement during Christmas.,N,8,N8,b,3,2,3,2,11,33.14,3.012727273,1.093801544
34,N8c,0,0,0,"One woman doesn't want to hear what the other is saying, during the holidays.",N,8,N8,c,3,3,4,2,14,33.32,2.563076923,1.099108613
34,N9a,0,0,0,"A woman just threw out her husband, handing him the keys to his car, and is telling him to leave. ",N,9,N9,a,8,2,7,1,20,62.9,3.145,1.192796361
34,N9b,0,0,0,"A woman is leaving her husband, giving him back his wedding band. Sorry, Jerry.",N,9,N9,b,7,3,7,1,14,44.47,3.420769231,0.835877399
34,N9c,0,0,0,"A woman is breaking this mans heart, and breaking off the engagement. ",N,9,N9,c,2,6,8,1,12,39,3.25,1.141498218
34,P6a,0,0,0,"A male is upset that a woman is paying him no attention, and he really wants to be included in the conversation.",P,6,P6,a,2,7,5,2,22,61.46,2.793636364,1.020735241
34,P6b,0,0,0,"The male is being ignored by the female group, and has his arms crossed because hes in a defensive position.",P,6,P6,b,4,6,6,1,20,55.36,2.913684211,1.264011298
34,P6c,0,0,0,"Coworkers are having a conversation, and the male is paying close attention to it.",P,6,P6,c,3,2,0,2,14,39.57,2.826428571,1.035349121
34,N10a,0,0,0,"A group of friends is hanging out having a good time, but one friend seems to be going through something, and is staying away from the general group.",N,10,N10,a,3,4,3,5,28,68.47,2.633461538,0.928310044
34,N10b,0,0,0,"Three people are talking behind the back of a lady on the right, is hears and is upset over it.",N,10,N10,b,6,6,7,1,20,61.62,3.081,1.064335226
34,N10c,0,0,0,"People are gossiping over a woman at work, and she overhears the conversation, and is visually upset.",N,10,N10,c,8,3,7,1,17,47.66,2.803529412,1.001960211
34,P7a,0,0,0,"A sports player had a clutch moment, and his friends are grabbing him celebrating.",P,7,P7,a,8,2,0,8,14,40.82,2.915714286,0.822881563
34,P7b,0,0,0,"This player made a big goal, and his friends are grabbing him in a celebratory manner.",P,7,P7,b,7,2,0,9,16,44.97,2.810625,0.794249908
34,P7c,0,0,0,"Big goal scored, and young Jacob is amazed and happy. His friends are too, so they hug and grab him in glee.",P,7,P7,c,7,6,0,10,22,56.55,2.692857143,0.872095997
34,N11a,0,0,0,"A couple is having a disagreement, with the woman crying.",N,11,N11,a,7,2,6,1,10,31.4,3.14,0.996025435
34,N11b,0,0,0,"The guy on the right is pleading for her to understand and forgive his actions, and shes clearing her tears.",N,11,N11,b,6,7,3,3,20,54.33,2.7165,1.03698589
34,N11c,0,0,0,"He did something not good, and is pleading for forgiveness. She doesn't want any part of him and is turned the other way processing the damage caused by this man.",N,11,N11,c,2,6,7,1,30,71.72,2.473103448,0.95874212
34,P8a,0,0,0,A coach gives instructions to a group of players.,P,8,P8,a,6,0,0,5,9,28.31,3.145555556,0.987599503
34,P8b,0,0,0,The players listen to the game plan via the coach.,P,8,P8,b,3,1,0,1,10,27.27,2.727,1.309105292
34,P8c,0,0,0,"The coach draws up a great gameplan, and the players listen to it.",P,8,P8,c,3,2,0,8,13,28.63,2.602727273,1.086610242
34,P9a,0,0,0,"A woman on a date, scratching her eye that is currently itching. Maybe she got something in it, and is laughing it off with her date?",P,9,P9,a,8,4,0,6,26,79.98,3.076153846,0.943080386
34,P9b,0,0,0,"A woman on a date, who was laughing so hard, she had to wipe the tears from her eyes. ",P,9,P9,b,9,2,0,8,19,57.91,3.047894737,1.161711281
34,P9c,0,0,0,"A woman hanging out with friends, laughing so hard that she needed to wipe her eyes clean from the tears of joy. The situation is a friend get together at a resturant.",P,9,P9,c,8,4,0,9,32,81.91,2.824482759,1.05900083
34,N12a,0,0,0,A meeting is taking place with a female presenter.,N,12,N12,a,3,0,0,0,9,30.5,3.388888889,0.728808007
34,N12b,0,0,0,The female boss is giving some serious feedback to an employee.,N,12,N12,b,3,2,2,2,11,30.76,2.796363636,1.144170203
34,N12c,0,0,0,"Something has happened, maybe bad performance, and the guy on the right is getting feedback on it.",N,12,N12,c,2,3,4,2,17,40.47,2.529375,1.003849051
34,P10a,0,0,0,"Friends are gathered, discussing the hub-bub with one another. One friend on the right wants to be included desperately.",P,10,P10,a,4,6,3,2,19,49.48,2.604210526,0.846839325
34,P10b,0,0,0,"Friends are discussing daily matters, having a great time doing so!",P,10,P10,b,2,2,0,9,11,28.97,2.633636364,0.716788291
34,P10c,0,0,0,"Friends are having a discussion, and enjoying each others company.",P,10,P10,c,3,3,0,9,10,25.41,2.541,0.799269806
34,P11a,0,0,0,"The girl on the right is rest her foot on the girl on the right, maybe getting her nails done.",P,11,P11,a,6,2,0,1,20,61.26,3.063,1.220906048
34,P11b,0,0,0,The girl on the left is responsible for doing nails and is  clipping the girl on the rights nails.,P,11,P11,b,7,1,0,1,19,57.31,3.016315789,1.382386063
34,P11c,0,0,0,"Two girls, one on the right, painting the nails of the girl on the left side. A smell in the room of chemicals and maybe alcohol, and the sensation of cooperation.",P,11,P11,c,8,4,1,6,31,90.16,2.908387097,1.317766031
34,P12a,0,0,0,Friends are gathered and having conversation.,P,12,P12,a,4,1,0,7,6,14.65,2.441666667,0.70152453
34,P12b,0,0,0,"The friends are having a conversation, with the man on the left giving an explanation of some kind.",P,12,P12,b,3,1,0,5,18,42.87,2.381666667,0.898444735
34,P12c,0,0,0,"The guy on the left is sharing a fun story, and everyone is listening.",P,12,P12,c,3,3,0,8,14,40.57,2.897857143,1.009647148
35,N1a,0,0,0,A girl is on her phone.,N,1,N1,a,8,0,0,1,6,23.14,3.856666667,0.832914561
35,N1b,0,0,0,People are sitting together and using their phones.,N,1,N1,b,8,1,0,2,8,26.61,3.32625,1.339028833
35,N1c,0,0,0,These people look bored. Three are glued to their phones.,N,1,N1,c,8,3,6,1,10,32.65,3.265,1.206742631
35,N2a,0,0,0,A group looks on at another person.,N,2,N2,a,6,0,0,0,7,23.06,3.294285714,0.884512241
35,N2b,0,0,0,People are laughing in the background.,N,2,N2,b,8,1,0,5,6,18.47,3.078333333,1.283797751
35,N2c,0,0,0,The woman is mad about something. The people in the back are laughing.,N,2,N2,c,4,2,4,2,13,37.14,2.856923077,1.310275954
35,P1a,0,0,0,People are sitting together. It may be a serious setting.,P,1,P1,a,4,2,2,2,10,30.53,3.053,1.05196166
35,P1b,0,0,0,Four people are waiting for news.,P,1,P1,b,2,1,0,0,6,17.06,2.843333333,1.121243357
35,P1c,0,0,0,Four people are having a serious discussion.,P,1,P1,c,3,1,0,2,7,20.54,2.934285714,0.994767262
35,N3a,0,0,0,It looks like a joyous get together.,N,3,N3,a,4,2,0,8,7,16.24,2.706666667,0.546211192
35,N3b,0,0,0,It looks like a fun meeting.,N,3,N3,b,3,1,0,7,6,15.88,2.646666667,0.5734341
35,N3c,0,0,0,People are making fun of the woman on the left.,N,3,N3,c,2,4,7,1,10,24.09,2.676666667,1.250809738
35,N4a,0,0,0,Two people are having a conversation.,N,4,N4,a,2,0,0,0,6,19.46,3.243333333,1.107369255
35,N4b,0,0,0,The two are talking and the man is saying no.,N,4,N4,b,6,1,1,1,10,28.23,2.823,1.300196994
35,N4c,0,0,0,The two are disagreeing. It looks like the woman is trying to convince the man and he is saying no.,N,4,N4,c,6,4,3,2,20,53.96,2.698,1.129539263
35,P2a,0,0,0,A man being surprised with something.,P,2,P2,a,2,1,0,1,6,16.95,2.825,1.170926983
35,P2b,0,0,0,A woman is showing her Turkey.,P,2,P2,b,6,0,0,5,6,23.5,3.916666667,0.711383628
35,P2c,0,0,0,A woman is placing a turkey down on the table for the meal.,P,2,P2,c,8,1,0,5,13,44.04,3.387692308,1.236393639
35,N5a,0,0,0,People are sitting and on their phones.,N,5,N5,a,7,0,0,0,7,24.34,3.477142857,1.399722762
35,N5b,0,0,0,People in the background are bored or being boring.,N,5,N5,b,3,4,6,1,9,23.75,2.638888889,1.037056465
35,N5c,0,0,0,The woman is bored with the others.,N,5,N5,c,2,6,5,1,7,18.25,2.607142857,1.20893499
35,N6a,0,0,0,A man is sitting with friends.,N,6,N6,a,6,0,0,5,6,21.84,3.64,1.088007353
35,N6b,0,0,0,A cheerful man is sitting with friends. It looks like the others are bored.,N,6,N6,b,6,4,2,5,14,40.12,2.865714286,1.057571342
35,N6c,0,0,0,"It looks like it has been a long night of celebrating. One person looks cheerful, one looks done, and one looks bored.",N,6,N6,c,6,6,2,3,22,62.63,2.982380952,0.880658304
35,N7a,0,0,0,Two people are having a conversation.,N,7,N7,a,2,0,0,0,6,19.46,3.243333333,1.107369255
35,N7b,0,0,0,The two are trying to understand a concept.,N,7,N7,b,1,3,0,2,8,18.17,2.27125,0.982059607
35,N7c,0,0,0,The two are having a disagreement. The one on the left doesn't want to hear anymore.,N,7,N7,c,3,3,6,1,16,37.65,2.51,0.966318492
35,P3a,0,0,0,The woman must be feeling on the spot and is freezing up.,P,3,P3,a,2,7,6,2,12,34.28,2.856666667,1.191067766
35,P3b,0,0,0,There is a meeting going on and the woman is frozen.,P,3,P3,b,4,2,2,1,11,34.08,3.098181818,1.005970359
35,P3c,0,0,0,The woman in the meeting is thinking hard or is overwhelmed.,P,3,P3,c,2,6,3,2,11,30.49,2.771818182,1.152343857
35,P4a,0,0,0,People are in a meeting.,P,4,P4,a,3,0,0,5,5,15.82,3.164,1.025782628
35,P4b,0,0,0,There is a work meeting in a conference room.,P,4,P4,b,3,0,0,0,9,30.76,3.417777778,0.727423154
35,P4c,0,0,0,Ladies are discussing work or presenting ideas.,P,4,P4,c,2,1,0,5,7,19.55,2.792857143,1.062461204
35,P5a,0,0,0,A woman is screaming.,P,5,P5,a,8,1,7,1,4,15.96,3.99,0.541910202
35,P5b,0,0,0,A woman has been drinking and is screaming.,P,5,P5,b,8,1,6,1,8,24.09,3.441428571,1.294081767
35,P5c,0,0,0,A woman is being silly with the boy. It looks like a casual get together.,P,5,P5,c,2,2,0,7,15,39.96,2.854285714,1.022047073
35,N8a,0,0,0,A woman looks for someone in the background.,N,8,N8,a,7,2,0,0,8,23.7,2.9625,1.006972123
35,N8b,0,0,0,Both women are looking to something off camera.,N,8,N8,b,7,1,0,0,8,23.4,2.925,1.250748347
35,N8c,0,0,0,The older woman may be trying to lecture.,N,8,N8,c,2,6,2,2,8,21.02,2.6275,1.083799533
35,N9a,0,0,0,Someone is holding out their hand.,N,9,N9,a,8,0,0,5,6,22.11,3.685,0.657715744
35,N9b,0,0,0,A ring is being placed in the man's hand. A breakup is happening.,N,9,N9,b,5,2,6,2,13,42.22,3.247692308,1.19030916
35,N9c,0,0,0,She is leaving him. She gave him back the wedding ring.,N,9,N9,c,4,2,8,1,11,36.77,3.342727273,0.904821429
35,P6a,0,0,0,A man looks disgruntled.,P,6,P6,a,6,2,6,1,4,12.4,3.1,1.389028437
35,P6b,0,0,0,A man looks disbelieving.,P,6,P6,b,3,2,2,1,4,13.19,3.2975,1.090913226
35,P6c,0,0,0,A woman is sharing a story. It must be entertaining and interesting.,P,6,P6,c,2,2,0,7,12,33.81,2.8175,0.892485039
35,N10a,0,0,0,A group of people are at a table.,N,10,N10,a,7,0,0,0,8,25.83,3.22875,1.280930884
35,N10b,0,0,0,A woman is looking sad while others are in conversation.,N,10,N10,b,7,3,6,2,10,29.39,2.939,0.910023809
35,N10c,0,0,0,A woman may feel left out of the conversation.,N,10,N10,c,2,4,4,2,9,24.63,2.736666667,0.91476773
35,P7a,0,0,0,Someone is being held back.,P,7,P7,a,2,1,6,2,5,17.5,3.5,0.95822753
35,P7b,0,0,0,A boy looks happy and is being embraced.,P,7,P7,b,7,3,0,8,8,24.21,3.02625,1.06045728
35,P7c,0,0,0,A boy looks happy. Their team may have made a great move.,P,7,P7,c,3,3,0,8,12,36.82,3.068333333,0.760464372
35,N11a,0,0,0,There are two people sitting next to each other.,N,11,N11,a,8,0,0,0,9,25.93,2.881111111,1.303106331
35,N11b,0,0,0,The man is pleading.,N,11,N11,b,3,3,3,1,4,12.74,3.185,1.479312904
35,N11c,0,0,0,The woman is crying and the man is pleading for forgiveness.,N,11,N11,c,8,3,7,1,11,31.15,2.831818182,1.391156484
35,P8a,0,0,0,This person is feeling pressure. They have some decisions to make.,P,8,P8,a,1,4,2,2,11,30.14,2.74,0.903205403
35,P8b,0,0,0,People are all trying to give their opinions to the person in black.,P,8,P8,b,2,3,0,2,13,35.17,2.705384615,1.147065934
35,P8c,0,0,0,The team is making a plan.,P,8,P8,c,2,1,0,5,6,18.47,3.078333333,0.921789925
35,P9a,0,0,0,The lady is wiping her eye.,P,9,P9,a,8,0,0,0,6,21.59,3.598333333,1.229689663
35,P9b,0,0,0,The lady is happy and has tears of joy.,P,9,P9,b,6,3,0,9,9,22.37,2.79625,1.29559625
35,P9c,0,0,0,The lady is being celebrated and is touched.,P,9,P9,c,3,4,0,8,8,23.75,2.96875,1.208203359
35,N12a,0,0,0,One person standing in a room with other people.,N,12,N12,a,8,0,0,0,9,32.65,3.627777778,1.109310346
35,N12b,0,0,0,A woman making a case about a work issue.,N,12,N12,b,2,0,0,0,9,28.43,3.158888889,0.806682162
35,N12c,0,0,0,A woman discussing a problem with a peer.,N,12,N12,c,3,1,1,1,8,25.89,3.23625,0.726320227
35,P10a,0,0,0,a girl looks down the line at other people.,P,10,P10,a,8,1,0,0,9,29.34,3.26,1.2554083
35,P10b,0,0,0,A girl is watching other people.,P,10,P10,b,6,1,0,0,6,23.4,3.9,1.091970696
35,P10c,0,0,0,Friends are huddled around having a conversation.,P,10,P10,c,6,1,0,6,7,19.8,2.828571429,0.864164887
35,P11a,0,0,0,Two women are looking at one's foot.,P,11,P11,a,8,0,0,0,7,24.39,3.484285714,1.198761265
35,P11b,0,0,0,A woman is showing another her foot.,P,11,P11,b,8,0,0,0,7,26.2,3.742857143,0.800327314
35,P11c,0,0,0,Two women are painting their toenails.,P,11,P11,c,8,0,0,5,6,23.48,3.913333333,1.150715719
35,P12a,0,0,0,The man is listening.,P,12,P12,a,4,0,0,1,4,13.62,3.405,1.425798022
35,P12b,0,0,0,The man on the left is telling a story. The man on the right is listening intently.,P,12,P12,b,6,4,0,5,17,50.77,2.986470588,1.106819436
35,P12c,0,0,0,Friends are eating and talking.,P,12,P12,c,7,1,0,7,5,14.95,2.99,1.297670991
36,N1a,0,0,0,A girl is on her phone,N,1,N1,a,7,0,0,0,6,23.14,3.856666667,0.832914561
36,N1b,0,0,0,A group of people are on their phones at a coffee shop,N,1,N1,b,8,0,0,1,12,37.21,3.382727273,1.169162871
36,N1c,0,0,0,A group of people are hanging out at a coffee shop,N,1,N1,c,7,1,0,5,11,28.35,3.15,1.204605745
36,N2a,0,0,0,A group of teens at school,N,2,N2,a,6,0,0,0,6,20.06,3.343333333,1.248449705
36,N2b,0,0,0,A group of teens at school talking about something,N,2,N2,b,3,1,0,5,9,27.72,3.08,1.249649951
36,N2c,0,0,0,A teacher being talked about by a group of students,N,2,N2,c,2,0,0,0,10,30.97,3.097,1.296739929
36,P1a,0,0,0,A group is sitting on a couch,P,1,P1,a,8,0,0,1,7,27.31,3.901428571,0.681039122
36,P1b,0,0,0,A group is sitting and consoling a friend,P,1,P1,b,6,2,2,3,8,27.8,3.475,0.972052321
36,P1c,0,0,0,Someone is sharing bad news and friends are consoling,P,1,P1,c,3,2,4,3,9,25.39,2.821111111,0.943297997
36,N3a,0,0,0,Someone is laughing at their friends,N,3,N3,a,3,2,1,6,6,17.19,3.438,0.37076947
36,N3b,0,0,0,A group of coworkers are laughing,N,3,N3,b,7,1,0,7,6,19.38,3.23,1.199449874
36,N3c,0,0,0,A group of people are making fun and laughing at someone,N,3,N3,c,7,2,7,1,11,26.73,2.97,1.125566524
36,N4a,0,0,0,Two people talking,N,4,N4,a,3,0,0,0,3,12.97,4.323333333,0.347898453
36,N4b,0,0,0,A conversation between two people,N,4,N4,b,1,0,0,0,5,18.15,3.63,0.80399005
36,N4c,0,0,0,Someone being talked through an assignment at work,N,4,N4,c,2,1,0,5,8,23.4,2.925,1.010162646
36,P2a,0,0,0,A man is at someone birthday party,P,2,P2,a,3,0,0,5,7,22.51,3.751666667,1.020596231
36,P2b,0,0,0,A woman is serving turkey at Thanksgiving to her family,P,2,P2,b,8,0,0,7,10,34.49,3.449,1.044173783
36,P2c,0,0,0,Thankgiving dinner is happening for a family,P,2,P2,c,2,0,0,7,7,19.32,3.22,1.246210255
36,N5a,0,0,0,People are in a coffee shop,N,5,N5,a,6,0,0,5,6,17.65,3.53,1.253774302
36,N5b,0,0,0,People are on their phones in a coffee shop,N,5,N5,b,8,1,0,1,9,29.1,3.6375,1.074293788
36,N5c,0,0,0,People are hanging out at a coffee shop,N,5,N5,c,7,1,0,5,8,19.31,3.218333333,1.299175379
36,N6a,0,0,0,A guy is taking a selfie,N,6,N6,a,7,0,0,0,6,18.17,3.634,0.67195982
36,N6b,0,0,0,A guy is taking a selfie and his friend is next to him,N,6,N6,b,8,0,0,1,13,37.14,3.095,0.924194981
36,N6c,0,0,0,Guys are at a party and hanging out in the corner,N,6,N6,c,4,1,0,2,11,28.89,2.889,1.209071728
36,N7a,0,0,0,Someone is explaining something,N,7,N7,a,1,0,0,0,4,11.43,2.8575,1.116702736
36,N7b,0,0,0,A girl is explaining something to their dad,N,7,N7,b,3,2,0,5,8,25,3.125,1.22826242
36,N7c,0,0,0,Two girls are arguing about something in public,N,7,N7,c,3,2,3,2,8,22.79,2.84875,1.140619349
36,P3a,0,0,0,A girl is presenting in her class,P,3,P3,a,3,1,0,5,7,25.27,3.61,0.660782365
36,P3b,0,0,0,A girl is presenting to her coworkers,P,3,P3,b,3,1,0,5,7,24.25,3.464285714,1.0594001
36,P3c,0,0,0,A girl is presenting her work to her bosses and coworkers,P,3,P3,c,4,1,0,5,11,36.08,3.28,1.024216774
36,P4a,0,0,0,Coworkers are sitting at a work meeting,P,4,P4,a,7,0,0,1,7,22.73,3.247142857,1.074797877
36,P4b,0,0,0,A work meeting is being held and someone is presenting,P,4,P4,b,2,0,0,1,10,31.74,3.174,0.84006878
36,P4c,0,0,0,A work meeting is being held and everyone is focusing on the woman presenting,P,4,P4,c,4,1,0,5,14,42.44,3.031428571,0.929192016
36,P5a,0,0,0,A woman is yelling at a child,P,5,P5,a,8,1,7,1,7,25.6,3.657142857,0.901068149
36,P5b,0,0,0,A woman is yelling at a child with alcohol,P,5,P5,b,7,1,7,1,9,32.36,3.595555556,1.048798254
36,P5c,0,0,0,A woman is trying to amuse a child,P,5,P5,c,3,3,0,5,8,26.01,3.25125,1.113596971
36,N8a,0,0,0,A holiday at home,N,8,N8,a,2,0,0,5,4,12.29,3.0725,0.848149947
36,N8b,0,0,0,A woman is speaking during Christmas,N,8,N8,b,3,0,0,5,6,20.23,3.371666667,1.019674785
36,N8c,0,0,0,A woman is speaking negatively about the other woman sitting down during Christmas,N,8,N8,c,3,3,7,1,13,40.04,3.08,1.22303584
36,N9a,0,0,0,Someone is offering a hand to someone,N,9,N9,a,6,0,0,7,7,23.1,3.3,1.076986537
36,N9b,0,0,0,A woman is giving her ring to the man,N,9,N9,b,8,1,0,5,9,30.05,3.338888889,1.279740642
36,N9c,0,0,0,A woman is ending her marriage with her husband,N,9,N9,c,2,1,5,1,9,29.4,3.266666667,0.783485801
36,P6a,0,0,0,A man is listening to someone tell a story,P,6,P6,a,6,1,0,5,9,30.15,3.35,0.867395527
36,P6b,0,0,0,A teacher is listening to his student,P,6,P6,b,6,1,0,5,7,24.44,3.491428571,1.125247063
36,P6c,0,0,0,A teacher is listening to another teacher speak,P,6,P6,c,6,0,0,5,8,27.63,3.45375,0.986377753
36,N10a,0,0,0,Kids are playing with their mother,N,10,N10,a,7,0,0,8,6,19.59,3.265,1.18894491
36,N10b,0,0,0,A girl is sad in a group of people,N,10,N10,b,3,3,6,1,9,31.86,3.54,0.985811848
36,N10c,0,0,0,A girl is being discluded from a group of people,N,10,N10,c,3,2,7,1,10,29.48,3.275555556,1.243926355
36,P7a,0,0,0,Friends are holding someone back from fighting,P,7,P7,a,6,2,2,4,7,22.68,3.24,1.036436202
36,P7b,0,0,0,A boy is excited after winning his game,P,7,P7,b,3,4,0,9,8,26,3.25,1.052832913
36,P7c,0,0,0,Teammates are excited after winning their game,P,7,P7,c,3,3,0,9,7,20.6,2.942857143,1.074859902
36,N11a,0,0,0,A woman is sipping her coffee while a man is talking to her,N,11,N11,a,8,1,0,5,13,45.76,3.52,1.067325317
36,N11b,0,0,0,A man is begging for the womans attention,N,11,N11,b,3,3,3,2,8,24.75,3.09375,1.255057625
36,N11c,0,0,0,A man is begging for the womans forgiveness while she cries,N,11,N11,c,8,4,7,2,11,32.8,2.981818182,1.275482796
36,P8a,0,0,0,A teammate is listening to a coach,P,8,P8,a,3,0,0,5,7,23.72,3.388571429,0.897523047
36,P8b,0,0,0,More teammates are listening to their coach,P,8,P8,b,2,2,0,6,7,20.17,2.881428571,1.151526937
36,P8c,0,0,0,A team is listening to a play from their coach,P,8,P8,c,3,1,0,5,10,31.78,3.178,0.842862846
36,P9a,0,0,0,A woman is crying,P,9,P9,a,7,1,6,1,4,15.64,3.91,0.498865379
36,P9b,0,0,0,A woman is crying in public,P,9,P9,b,8,1,7,1,6,21.21,3.535,0.710851602
36,P9c,0,0,0,A woman is happy crying on her birthday,P,9,P9,c,6,4,1,8,8,27.65,3.45625,0.619883342
36,N12a,0,0,0,Someone is demonstrating a physicality of a story,N,12,N12,a,2,1,0,5,8,24.12,3.015,0.740887499
